TKM Path,MeshIndex,MaterialIndex,Albedo,Normal,Specular,Reflection,Refraction
"Assets/modelData/bg/bg.tkm",0,0,"Caves_floor.DDS","","spec.png","spec.png",""
"Assets/modelData/bg/bg.tkm",1,0,"Caves_wall.tga","","spec.png","",""
"Assets/modelData/bg/bg.tkm",2,0,"Caves_wall.tga","","spec.png","",""
"Assets/modelData/bg/bg.tkm",3,0,"Caves_floor.DDS","","spec.png","spec.png",""
"Assets/modelData/bg/bg.tkm",4,0,"Caves_wall.tga","","spec.png","",""
"Assets/modelData/bg/bg.tkm",5,0,"Caves_floor.DDS","","spec.png","spec.png",""
"Assets/modelData/bg/bg.tkm",6,0,"Caves_wall.tga","","spec.png","",""
"Assets/modelData/bg/bg.tkm",7,0,"Caves_floor.DDS","","spec.png","spec.png",""
"Assets/modelData/bg/bg.tkm",8,0,"Caves_wall.tga","","spec.png","",""
"Assets/modelData/bg/bg.tkm",9,0,"Caves_floor.DDS","","spec.png","spec.png",""
"Assets/modelData/bg/bg.tkm",10,0,"Caves_floor.DDS","","spec.png","spec.png",""
"Assets/modelData/bg/bg.tkm",11,0,"Caves_wall.tga","","spec.png","",""
"Assets/modelData/bg/bg.tkm",12,0,"Caves_wall.tga","","spec.png","",""
"Assets/modelData/bg/bg.tkm",13,0,"Caves_floor.DDS","","spec.png","spec.png",""
"Assets/modelData/bg/bg.tkm",14,0,"Caves_floor.DDS","","spec.png","spec.png",""
"Assets/modelData/bg/bg.tkm",15,0,"Caves_wall.tga","","spec.png","",""
"Assets/modelData/bg/bg.tkm",16,0,"Caves_floor.DDS","","spec.png","spec.png",""
"Assets/modelData/bg/bg.tkm",17,0,"Caves_wall.tga","","spec.png","",""
"Assets/modelData/bg/bg.tkm",18,0,"Caves_wall.tga","","spec.png","",""
"Assets/modelData/bg/bg.tkm",19,0,"Caves_water.tga","","spec.png","",""
"Assets/modelData/bg/bg.tkm",20,0,"Caves_floor.DDS","","spec.png","spec.png",""
"Assets/modelData/bg/bg.tkm",21,0,"Caves_wall.tga","","spec.png","",""
"Assets/modelData/bg/bg.tkm",22,0,"Caves_floor.DDS","","spec.png","spec.png",""
"Assets/modelData/bg/bg.tkm",23,0,"Caves_floor.DDS","","spec.png","spec.png",""
"Assets/modelData/bg/bg.tkm",24,0,"Caves_wall.tga","","spec.png","",""
"Assets/modelData/bg/bg.tkm",25,0,"Caves_floor.DDS","","spec.png","spec.png",""
"Assets/modelData/bg/bg.tkm",26,0,"Caves_wall.tga","","spec.png","",""
"Assets/modelData/bg/bg.tkm",27,0,"Caves_wall.tga","","spec.png","",""
"Assets/modelData/bg/bg.tkm",28,0,"Caves_floor.DDS","","spec.png","spec.png",""
"Assets/modelData/bg/bg.tkm",29,0,"mirror.png","","","mirror_spec.DDS",""
"Assets/modelData/bg/bg.tkm",30,0,"teapot.png","","","teapot_spec.png",""
"Assets/modelData/bg/bg.tkm",31,0,"teapot2.DDS","","","mirror_spec.DDS",""
